mask,soln_count
35257386599434,11
22025129173505,11
39651138143242,16
37452114953226,16
22025129165321,16
22024860729873,16
43984760210442,20
35193499026442,20
22024860798977,20
22024860737541,20
35257386664970,21
22024860738049,21
35189204059146,23
22024860803073,23
46179488498698,27
35193515672586,27
22024594460673,27
22024860729365,27
39582955537418,28
22025129230345,28
37383932347402,30
22024860794897,30
43997645112330,32
22024860731397,32
57209232820228,33
8813273023499,33
35261698278410,35
22024594395649,35
57208966481924,36
35261681566730,36
22025129169409,36
8813289669643,36
45088566674442,37
22024592298021,37
35193583828994,39
17592222289921,39
57209232883728,41
2199560258571,41
43989055112202,42
39582955602954,42
43997661758474,42
22024860794889,42
22024594393093,42
22025129168901,42
37452114887690,45
22025129165329,45
35261681636354,47
35261681636608,47
35184942646282,47
22024861843457,47
17635404157441,47
180657066497,47
39651138143250,48
37383397508106,48
39651138208778,48
37452131599370,48
22024860729865,48
22024594391569,48
19826105909769,48
22025145942033,48
35253125252106,49
39651138605316,49
22024861778433,49
8942189019657,49
39582420763658,50
46179505144842,50
22024594391061,50
22025145942025,50
35192962155562,51
23124372361217,51
57209232820736,52
35257386599442,52
35192980898826,52
19826105917953,52
22024611172353,52
85899478027,52
35188669219850,53
43989071823882,53
35193566142720,53
22024594395141,53
22025145950209,53
142002950145,53
35253125186570,54
35188669285386,54
35261681632266,54
35270271566858,54
35202088961034,54
22024860796929,54
22024860731905,54
22024860733953,54
22025130213889,54
22024877514753,54
46179488433162,55
40750649705482,55
22024592294441,55
22025129164821,55
35257520886016,56
146297594369,56
43984760144906,57
35257386669058,57
43989055181826,57
35193499030784,57
43989055177738,57
35261681632528,57
180657131521,57
17635404161537,57
2371090387457,57
17635404156933,57
22024860733445,57
22025129172997,57
37383948993546,58
35188669681924,58
22024594456593,58
8942205804545,58
37383932281866,61
35261681501706,61
35193582780434,61
22025129230353,61
22093311775233,61
19791211991041,61
39685497880586,62
43997645046794,62
37383397573642,62
22025129166853,62
22024877506577,62
21990769427977,62
57209501258240,63
57209232822276,63
35189203993610,63
37383663846410,63
37383663911946,63
35261815853312,63
146297590273,63
22025129238529,63
22024860860433,63
22025129295889,63
77309477899,63
8804683088907,63
57209232826880,64
35261748609300,64
35257387126786,64
73014576139,64
17601379967489,64
11132555760129,64
57208966545416,65
35201554187274,65
43997662286080,65
22024877508609,65
4398600160267,65
146098096133,65
57209232891904,66
57209232822784,66
35261815849232,66
35257387192576,66
2336730911233,66
4831970315,66
77309543435,66
146364441089,66
57209232887808,67
57209232883720,67
35365029153280,67
52811219866112,67
35193247237130,67
22024594526209,67
77310592003,67
9126937611,67
4398583514123,67
85899482369,67
39582420962048,68
57208966549504,68
57209232826372,68
35193582788864,68
8800388121611,68
9143583755,68
223489294345,68
141736611841,68
57208966484480,69
39582420763666,69
35270271501322,69
39582420829194,69
22025129167361,69
22024877506569,69
19826122686473,69
77326189579,69
35193498960906,70
40682467099658,70
35188669747202,70
35261682163968,70
22025129234433,70
22024592359465,70
142069469697,70
17601396744193,70
57209232818704,71
35192964252682,71
39651138078218,71
37383414219786,71
35261832499456,71
146031251969,71
22093311771145,71
22024877510657,71
22024611168273,71
2267742864395,71
39616780501010,72
43989055182080,72
35193499030530,72
39651154854922,72
39582972249098,72
43997645639936,72
35184408269060,72
17635404222465,72
22024594456585,72
22024594391561,72
180657065989,72
19791762949129,72
146364434437,72
8942206844929,72
57209232818196,73
10995116409867,73
36293010523146,74
35270288213002,74
22024592363553,74
22024594393601,74
35296041378048,75
35188935558154,75
43980498732042,75
35188935623690,75
35193567183104,75
22024860868609,75
22025129304065,75
22025130213381,75
142002361857,75
137741537281,75
57209501319176,76
35257386603522,76
43980498797578,76
35193582788610,76
39651138666514,76
17635672596993,76
22024861777925,76
4398583448587,76
19791813280265,76
17596483702785,76
39685497880594,77
57208983261184,77
19791746172425,77
8608809995,77
57209232885760,78
39685497884674,78
35188667188266,78
35257387188496,78
23124372365313,78
17716872203,78
17601312851465,78
2336797762049,78
39582420961540,79
8950862839817,79
35193230590986,80
22024860864513,80
57209501262336,81
35261681640704,81
37452114957314,81
35257387196672,81
176362099201,81
17635404153361,81
73014510603,81
142069473793,81
57209501254152,82
35201554121738,82
39582437475338,82
35257453773072,82
35193297703168,82
35261748740368,82
35193048010754,82
39582554980370,82
19791763210249,82
22025145944065,82
22024611168265,82
4466766054411,82
146297982977,82
2336731173377,82
2336731177473,82
17600795381761,82
57209501323264,83
57209232818696,83
35257386664978,83
35257386665232,83
35193314349312,83
35193583829248,83
35201554583812,83
19825837482497,83
2371090391553,83
9126872075,83
4466766119947,83
8942205798401,83
137475198977,83
146031644673,83
35365029159424,84
55010209567232,84
35188669219858,84
35253141898250,84
35188669812992,84
37383681085696,84
22024595440129,84
19826122694657,84
73014580481,84
77309543443,84
146098225169,84
146381217793,84
35192981164034,85
57209232953344,85
36352636748810,85
35257403311114,85
52785483747328,85
39651272298756,85
35261682159872,85
8942122172937,85
22024593343009,85
22024594399745,85
8858502155,85
146364436993,85
17600929075201,85
8859029507,85
57208966480392,86
35201570833418,86
22024611170305,86
4466782766091,86
57208966483972,87
57208983259136,87
35257387122698,87
37383414747392,87
8804699735051,87
17198744587,87
21990836544001,87
146114871313,87
57208966479892,88
35193515676928,88
35257453781248,88
35193566134544,88
180390793217,88
10995133056011,88
2336731238401,88
142002889217,88
39651138404362,89
35184407806986,89
35184942580746,89
22025130278913,89
22025146990593,89
21990903644681,89
35296041369872,90
57209233867264,90
57209501257732,90
52819793022976,90
57208983257096,90
35193499034880,90
46179488502786,90
176362164225,90
17635404152853,90
8804683023371,90
8592167939,90
68753163275,90
2336730650113,90
4398065386507,90
57209501327360,91
43989138935810,91
35261832495376,91
2336464572929,91
4831904779,91
17600778604549,91
57208984305664,92
35261682155792,92
52429835,92
2336797757953,92
57209501255684,93
8813272957963,93
57208966482432,94
35184407872522,94
35193582780426,94
22024878555137,94
85916124171,94
21990235246593,94
35192981164288,95
57209502367744,95
35296042418432,95
39582420698634,95
22093328547849,95
570491915,95
137740948993,95
146181984257,95
35296041373952,96
37383680558090,96
35261698806016,96
22024594522129,96
146297329153,96
146098098689,96
39616780505090,97
35261748748544,97
46179505672448,97
17601329628169,97
146098094101,97
142002885121,97
39582437736466,98
39685497823492,98
39685497815316,98
35261765386258,98
8937826944521,98
11132555232777,98
19791362392073,98
19791211926017,98
35184424518666,99
35193048011008,99
35270272094464,99
35192981426178,99
35192981426432,99
22024612216833,99
146364434945,99
17600861966337,99
146114875393,99
146048290817,99
35192981159954,100
35188669289474,100
35193031364864,100
35261832495122,100
37383398035458,100
19791211663873,100
17635420938241,100
17601396736017,100
19791362396161,100
146314629121,100
35193247764736,101
146098229249,101
57208966547456,102
36361193128970,102
35192978801706,102
35257521864706,102
35257520881936,102
35270405652756,102
11132555495937,102
2336730915329,102
17592756740609,102
23124106022913,102
22024592298529,102
17733518347,102
35192964256770,103
39651205251090,103
35193566134290,103
17635420934145,103
19791478329345,103
19791746695689,103
39685497819904,104
39685497819396,104
43984760214530,104
35193499026704,104
36369783063562,104
35193582784514,104
39651138601236,104
2371090452481,104
22024592296481,104
17635404161029,104
214748366345,104
8942121911817,104
11132622340617,104
17600778670081,104
35193230595328,105
35193567182850,105
39651138605824,105
180657197057,105
214815474185,105
17592488628225,105
39582421024786,106
35193516721154,106
39583022719232,106
35257520816146,106
35257520750868,106
35192964649220,106
11132555502081,106
19791746441729,106
17626581504001,106
8942205800449,106
19791897165833,106
142002946057,106
39616780437764,107
39582421225732,107
8950728623113,107
8942205796361,107
35188669548800,109
39685497882626,109
39616780435732,109
37452265816082,109
19791211659793,109
17609902786057,109
11132572009481,109
155038261249,109
39582437738752,110
57208983257104,110
35202105607178,110
43989139980290,110
35257520816138,110
21990769697281,110
22024594458625,110
2199042130955,110
154771914761,110
17592222224389,110
57209249599488,111
35184959292426,111
35261748674578,111
35261766434818,111
35193314344970,111
35257387061508,111
35261698810112,111
22024595505153,111
8592163851,111
141803131393,111
8942189027841,111
21990235312129,111
19791746699777,111
17592222224897,111
35261748678658,112
35189271175424,112
43989122285840,112
35193314349058,112
35261682028804,112
8942189023745,112
142002954241,112
17600778735617,112
17601313378817,112
2336731172869,112
57208967593984,113
39685514592274,113
35257387713538,113
35201820525578,113
35270271567120,113
35253125121546,113
35261698278418,113
35193031294994,113
35261815787522,113
35261815722244,113
37452132126976,113
8942122177025,113
17601313116673,113
22024860862465,113
22093312819713,113
2371090385409,113
19825571140097,113
17626847781377,113
19791211398665,113
587203595,113
146098094609,113
19791763476481,113
35184674145290,114
35184405775402,114
43984776856586,114
22025130344449,114
23124373405697,114
22024594399237,114
39582687167498,115
35192980902914,115
22024860860425,115
17635154595841,115
39651138404370,116
39651138343680,116
39685514592266,116
48378511754250,116
35261765386250,116
22024860729357,116
21990234654217,116
214882583049,116
19791880389129,116
21990235181569,116
39685498929154,117
35184674210826,117
35257453707274,117
35188736262420,117
22024861908993,117
17592756471305,117
21990769959425,117
11132572540929,117
35192964452354,118
35193515937794,118
35192964187154,118
37452114822666,118
37452131599378,118
35257453775104,118
35257453642004,118
35257387122706,118
35257387188488,118
22093311771153,118
19825571136017,118
19826122690561,118
4535821017601,118
19791813288449,118
17600912363521,118
17601463848961,118
154887791105,118
11132555764225,118
35192964385028,119
39617316323330,119
35261682680834,119
35270271571200,119
35261765394434,119
35193499558144,119
35188669677844,119
43989072351488,119
180657064449,119
17626847777281,119
17592756536329,119
142069534721,119
146098098181,119
11132639125505,119
8950862843905,119
17596483637761,119
39582421024778,120
21990920421385,120
35184408072194,121
39582420964096,121
35261698543872,121
35261698539538,121
57209233866756,121
57209502302212,121
43980515443722,121
43989122289920,121
35193566142466,121
35261815851264,121
154887524865,121
22024595439621,121
8796126643211,121
8796126708747,121
146165207553,121
19791345619457,121
17601464893441,121
214899359753,121
17596750041089,121
146297851909,121
39685497824000,122
35188935558162,122
48378511688714,122
35193500075264,122
43997645116418,122
35201552090154,122
35261765388290,122
35261698801928,122
172100751361,122
19826106048513,122
23124372359169,122
17635404154885,122
22025129164813,122
210453399049,122
4535554675201,122
17609368539649,122
39685497954560,123
57208967528960,123
57209249595408,123
35188669223938,123
43989071828224,123
180390727685,123
17635689373697,123
2199025484811,123
142002357769,123
68769809419,123
39582437740800,124
57209233932288,124
39685497815816,124
57208966479884,124
57209249597440,124
57209249603584,124
35261748674570,124
35193516200192,124
4297196555,124
17182098443,124
570557451,124
4604204942857,124
13194156311563,124
146098163713,124
146181980169,124
21990769955329,124
35184408007424,125
39651138343172,125
35257386673408,125
37452114953234,125
35188736264452,125
35201554714880,125
176362103297,125
19825837474321,125
146381211649,125
8942256128521,125
214900408321,125
8950729154561,125
35261698539530,126
43989055047178,126
43997662281992,126
22093311774725,126
4535554672645,126
21990368875009,126
35223295361296,127
35261833543936,127
137474871809,127
2336730784769,127
35227606978816,128
35201820460042,128
35257386669312,128
35261681632274,128
35257520820226,128
35261815718164,128
35201821053184,128
17601313120769,128
11132555497985,128
22025129297921,128
180657070593,128
19825837478401,128
146031121409,128
146364565505,128
35193516982274,129
35193566134536,129
35188936016148,129
11132622479361,129
17592355983361,129
4535754493953,129
35296058024192,130
